11/03/21;11:55PM;38.952kWh;4.122kWh/kW;412W;420W;0.044kW/kW;-;-;97.663kWh;3,465W
11/03/21;11:50PM;38.917kWh;4.118kWh/kW;412W;408W;0.043kW/kW;-;-;97.374kWh;2,937W
11/03/21;11:45PM;38.883kWh;4.115kWh/kW;411W;408W;0.043kW/kW;-;-;97.129kWh;2,880W
11/03/21;11:40PM;38.849kWh;4.111kWh/kW;410W;408W;0.043kW/kW;-;-;96.889kWh;2,940W
11/03/21;11:35PM;38.815kWh;4.107kWh/kW;411W;420W;0.044kW/kW;-;-;96.644kWh;2,879W
11/03/21;11:30PM;38.780kWh;4.104kWh/kW;411W;408W;0.043kW/kW;-;-;96.404kWh;2,694W
11/03/21;11:25PM;38.746kWh;4.100kWh/kW;411W;408W;0.043kW/kW;-;-;96.179kWh;2,746W
11/03/21;11:20PM;38.712kWh;4.097kWh/kW;411W;408W;0.043kW/kW;-;-;95.950kWh;2,783W
11/03/21;11:15PM;38.678kWh;4.093kWh/kW;412W;420W;0.044kW/kW;-;-;95.718kWh;4,020W
11/03/21;11:10PM;38.643kWh;4.089kWh/kW;410W;408W;0.043kW/kW;-;-;95.383kWh;3,574W
11/03/21;11:05PM;38.609kWh;4.086kWh/kW;410W;408W;0.043kW/kW;-;-;95.085kWh;3,972W
11/03/21;11:00PM;38.575kWh;4.082kWh/kW;412W;408W;0.043kW/kW;-;-;94.754kWh;2,612W
11/03/21;10:55PM;38.541kWh;4.078kWh/kW;412W;420W;0.044kW/kW;-;-;94.536kWh;2,713W
11/03/21;10:50PM;38.506kWh;4.075kWh/kW;410W;408W;0.043kW/kW;-;-;94.310kWh;3,118W
11/03/21;10:45PM;38.472kWh;4.071kWh/kW;409W;408W;0.043kW/kW;-;-;94.050kWh;2,995W
11/03/21;10:40PM;38.438kWh;4.068kWh/kW;409W;408W;0.043kW/kW;-;-;93.800kWh;2,796W
11/03/21;10:35PM;38.404kWh;4.064kWh/kW;409W;408W;0.043kW/kW;-;-;93.567kWh;2,722W
11/03/21;10:30PM;38.370kWh;4.060kWh/kW;409W;408W;0.043kW/kW;-;-;93.340kWh;2,675W
11/03/21;10:25PM;38.336kWh;4.057kWh/kW;409W;408W;0.043kW/kW;-;-;93.117kWh;2,790W
11/03/21;10:20PM;38.302kWh;4.053kWh/kW;408W;408W;0.043kW/kW;-;-;92.884kWh;2,862W
11/03/21;10:15PM;38.268kWh;4.050kWh/kW;409W;408W;0.043kW/kW;-;-;92.645kWh;2,794W
11/03/21;10:10PM;38.234kWh;4.046kWh/kW;408W;408W;0.043kW/kW;-;-;92.412kWh;2,761W
11/03/21;10:05PM;38.200kWh;4.042kWh/kW;409W;408W;0.043kW/kW;-;-;92.182kWh;3,524W
11/03/21;10:00PM;38.166kWh;4.039kWh/kW;404W;408W;0.043kW/kW;-;-;91.888kWh;3,290W
11/03/21;9:55PM;38.132kWh;4.035kWh/kW;402W;408W;0.043kW/kW;-;-;91.614kWh;4,261W
11/03/21;9:50PM;38.098kWh;4.032kWh/kW;403W;396W;0.042kW/kW;-;-;91.259kWh;3,256W
11/03/21;9:45PM;38.065kWh;4.028kWh/kW;402W;408W;0.043kW/kW;-;-;90.988kWh;2,669W
11/03/21;9:40PM;38.031kWh;4.024kWh/kW;401W;396W;0.042kW/kW;-;-;90.766kWh;2,685W
11/03/21;9:35PM;37.998kWh;4.021kWh/kW;402W;408W;0.043kW/kW;-;-;90.542kWh;2,818W
11/03/21;9:30PM;37.964kWh;4.017kWh/kW;401W;396W;0.042kW/kW;-;-;90.307kWh;2,852W
11/03/21;9:25PM;37.931kWh;4.014kWh/kW;400W;396W;0.042kW/kW;-;-;90.069kWh;2,884W
11/03/21;9:20PM;37.898kWh;4.010kWh/kW;401W;408W;0.043kW/kW;-;-;89.829kWh;2,858W
11/03/21;9:15PM;37.864kWh;4.007kWh/kW;399W;396W;0.042kW/kW;-;-;89.591kWh;2,724W
11/03/21;9:10PM;37.831kWh;4.003kWh/kW;399W;396W;0.042kW/kW;-;-;89.364kWh;2,763W
11/03/21;9:05PM;37.798kWh;4.000kWh/kW;400W;408W;0.043kW/kW;-;-;89.134kWh;2,890W
11/03/21;9:00PM;37.764kWh;3.996kWh/kW;399W;396W;0.042kW/kW;-;-;88.893kWh;2,876W
11/03/21;8:55PM;37.731kWh;3.993kWh/kW;401W;396W;0.042kW/kW;-;-;88.653kWh;2,828W
11/03/21;8:50PM;37.698kWh;3.989kWh/kW;402W;408W;0.043kW/kW;-;-;88.417kWh;2,712W
11/03/21;8:45PM;37.664kWh;3.986kWh/kW;401W;396W;0.042kW/kW;-;-;88.191kWh;2,715W
11/03/21;8:40PM;37.631kWh;3.982kWh/kW;401W;408W;0.043kW/kW;-;-;87.965kWh;2,745W
11/03/21;8:35PM;37.597kWh;3.979kWh/kW;400W;396W;0.042kW/kW;-;-;87.736kWh;2,720W
11/03/21;8:30PM;37.564kWh;3.975kWh/kW;400W;396W;0.042kW/kW;-;-;87.509kWh;2,713W
11/03/21;8:25PM;37.531kWh;3.972kWh/kW;400W;408W;0.043kW/kW;-;-;87.283kWh;2,665W
11/03/21;8:20PM;37.497kWh;3.968kWh/kW;401W;396W;0.042kW/kW;-;-;87.061kWh;2,722W
11/03/21;8:15PM;37.464kWh;3.964kWh/kW;392W;396W;0.042kW/kW;-;-;86.834kWh;3,242W
11/03/21;8:10PM;37.431kWh;3.961kWh/kW;400W;396W;0.042kW/kW;-;-;86.564kWh;2,720W
11/03/21;8:05PM;37.398kWh;3.957kWh/kW;401W;396W;0.042kW/kW;-;-;86.337kWh;2,693W
11/03/21;8:00PM;37.365kWh;3.954kWh/kW;403W;408W;0.043kW/kW;-;-;86.113kWh;2,698W
11/03/21;7:55PM;37.331kWh;3.950kWh/kW;402W;396W;0.042kW/kW;-;-;85.888kWh;2,742W
11/03/21;7:50PM;37.298kWh;3.947kWh/kW;403W;408W;0.043kW/kW;-;-;85.659kWh;2,825W
11/03/21;7:45PM;37.264kWh;3.943kWh/kW;403W;408W;0.043kW/kW;-;-;85.424kWh;2,881W
11/03/21;7:40PM;37.230kWh;3.940kWh/kW;403W;396W;0.042kW/kW;-;-;85.184kWh;3,083W
11/03/21;7:35PM;37.197kWh;3.936kWh/kW;403W;408W;0.043kW/kW;-;-;84.927kWh;3,225W
11/03/21;7:30PM;37.163kWh;3.933kWh/kW;402W;396W;0.042kW/kW;-;-;84.658kWh;3,284W
11/03/21;7:25PM;37.130kWh;3.929kWh/kW;403W;408W;0.043kW/kW;-;-;84.384kWh;3,383W
11/03/21;7:20PM;37.096kWh;3.926kWh/kW;403W;408W;0.043kW/kW;-;-;84.102kWh;3,321W
11/03/21;7:15PM;37.062kWh;3.922kWh/kW;402W;396W;0.042kW/kW;-;-;83.825kWh;3,595W
11/03/21;7:10PM;37.029kWh;3.918kWh/kW;403W;408W;0.043kW/kW;-;-;83.525kWh;3,622W
11/03/21;7:05PM;36.995kWh;3.915kWh/kW;404W;396W;0.042kW/kW;-;-;83.223kWh;3,743W
11/03/21;7:00PM;36.962kWh;3.911kWh/kW;405W;408W;0.043kW/kW;-;-;82.911kWh;4,449W
11/03/21;6:55PM;36.928kWh;3.908kWh/kW;412W;408W;0.043kW/kW;-;-;82.540kWh;4,488W
11/03/21;6:50PM;36.894kWh;3.904kWh/kW;431W;432W;0.046kW/kW;-;-;82.166kWh;4,453W
11/03/21;6:45PM;36.858kWh;3.900kWh/kW;435W;444W;0.047kW/kW;-;-;81.795kWh;4,344W
11/03/21;6:40PM;36.821kWh;3.896kWh/kW;427W;420W;0.044kW/kW;-;-;81.433kWh;4,415W
11/03/21;6:35PM;36.786kWh;3.893kWh/kW;407W;408W;0.043kW/kW;-;-;81.065kWh;4,567W
11/03/21;6:30PM;36.752kWh;3.889kWh/kW;408W;408W;0.043kW/kW;-;-;80.684kWh;4,990W
11/03/21;6:25PM;36.718kWh;3.886kWh/kW;413W;408W;0.043kW/kW;-;-;80.268kWh;5,006W
11/03/21;6:20PM;36.684kWh;3.882kWh/kW;429W;432W;0.046kW/kW;-;-;79.851kWh;4,669W
11/03/21;6:15PM;36.648kWh;3.878kWh/kW;507W;504W;0.053kW/kW;-;-;79.462kWh;2,927W
11/03/21;6:10PM;36.606kWh;3.874kWh/kW;494W;504W;0.053kW/kW;-;-;79.218kWh;3,141W
11/03/21;6:05PM;36.564kWh;3.869kWh/kW;627W;624W;0.066kW/kW;-;-;78.956kWh;3,989W
11/03/21;6:00PM;36.512kWh;3.864kWh/kW;717W;720W;0.076kW/kW;-;-;78.624kWh;4,895W
11/03/21;5:55PM;36.452kWh;3.857kWh/kW;718W;708W;0.075kW/kW;-;-;78.216kWh;4,834W
11/03/21;5:50PM;36.393kWh;3.851kWh/kW;909W;912W;0.097kW/kW;-;-;77.813kWh;4,372W
11/03/21;5:45PM;36.317kWh;3.843kWh/kW;938W;936W;0.099kW/kW;-;-;77.449kWh;3,788W
11/03/21;5:40PM;36.239kWh;3.835kWh/kW;908W;912W;0.097kW/kW;-;-;77.133kWh;3,606W
11/03/21;5:35PM;36.163kWh;3.827kWh/kW;1,116W;1,116W;0.118kW/kW;-;-;76.832kWh;3,343W
11/03/21;5:30PM;36.070kWh;3.817kWh/kW;1,169W;1,164W;0.123kW/kW;-;-;76.553kWh;3,306W
11/03/21;5:25PM;35.973kWh;3.807kWh/kW;1,192W;1,200W;0.127kW/kW;-;-;76.277kWh;3,516W
11/03/21;5:20PM;35.873kWh;3.796kWh/kW;1,261W;1,260W;0.133kW/kW;-;-;75.984kWh;3,688W
11/03/21;5:15PM;35.768kWh;3.785kWh/kW;1,101W;1,104W;0.117kW/kW;-;-;75.677kWh;3,925W
11/03/21;5:10PM;35.676kWh;3.775kWh/kW;817W;816W;0.086kW/kW;-;-;75.350kWh;4,373W
11/03/21;5:05PM;35.608kWh;3.768kWh/kW;729W;720W;0.076kW/kW;-;-;74.986kWh;4,901W
11/03/21;5:00PM;35.548kWh;3.762kWh/kW;943W;948W;0.100kW/kW;-;-;74.578kWh;4,756W
11/03/21;4:55PM;35.469kWh;3.753kWh/kW;1,068W;1,068W;0.113kW/kW;-;-;74.182kWh;4,289W
11/03/21;4:50PM;35.380kWh;3.744kWh/kW;2,346W;2,352W;0.249kW/kW;-;-;73.825kWh;4,552W
11/03/21;4:45PM;35.184kWh;3.723kWh/kW;4,988W;4,980W;0.527kW/kW;-;-;73.446kWh;7,731W
11/03/21;4:40PM;34.769kWh;3.679kWh/kW;4,700W;4,704W;0.498kW/kW;-;-;72.802kWh;6,829W
11/03/21;4:35PM;34.377kWh;3.638kWh/kW;3,670W;3,672W;0.389kW/kW;-;-;72.233kWh;6,660W
11/03/21;4:30PM;34.071kWh;3.605kWh/kW;4,727W;4,728W;0.500kW/kW;-;-;71.678kWh;7,508W
11/03/21;4:25PM;33.677kWh;3.564kWh/kW;5,543W;5,544W;0.587kW/kW;-;-;71.052kWh;8,817W
11/03/21;4:20PM;33.215kWh;3.515kWh/kW;5,798W;5,796W;0.613kW/kW;-;-;70.317kWh;9,120W
11/03/21;4:15PM;32.732kWh;3.464kWh/kW;4,101W;4,092W;0.433kW/kW;-;-;69.557kWh;7,243W
11/03/21;4:10PM;32.391kWh;3.428kWh/kW;1,237W;1,248W;0.132kW/kW;-;-;68.953kWh;5,312W
11/03/21;4:05PM;32.287kWh;3.417kWh/kW;1,274W;1,272W;0.135kW/kW;-;-;68.510kWh;5,234W
11/03/21;4:00PM;32.181kWh;3.405kWh/kW;2,343W;2,340W;0.248kW/kW;-;-;68.074kWh;5,690W
11/03/21;3:55PM;31.986kWh;3.385kWh/kW;2,742W;2,736W;0.290kW/kW;-;-;67.600kWh;4,604W
11/03/21;3:50PM;31.758kWh;3.361kWh/kW;3,065W;3,072W;0.325kW/kW;-;-;67.216kWh;4,673W
11/03/21;3:45PM;31.502kWh;3.334kWh/kW;4,567W;4,560W;0.483kW/kW;-;-;66.827kWh;6,623W
11/03/21;3:40PM;31.122kWh;3.293kWh/kW;4,335W;4,344W;0.460kW/kW;-;-;66.275kWh;6,460W
11/03/21;3:35PM;30.760kWh;3.255kWh/kW;2,970W;2,964W;0.314kW/kW;-;-;65.737kWh;4,646W
11/03/21;3:30PM;30.513kWh;3.229kWh/kW;2,863W;2,868W;0.303kW/kW;-;-;65.350kWh;4,449W
11/03/21;3:25PM;30.274kWh;3.204kWh/kW;3,653W;3,648W;0.386kW/kW;-;-;64.979kWh;5,306W
11/03/21;3:20PM;29.970kWh;3.171kWh/kW;3,276W;3,276W;0.347kW/kW;-;-;64.537kWh;4,901W
11/03/21;3:15PM;29.697kWh;3.143kWh/kW;2,989W;2,988W;0.316kW/kW;-;-;64.129kWh;4,721W
11/03/21;3:10PM;29.448kWh;3.116kWh/kW;2,878W;2,880W;0.305kW/kW;-;-;63.736kWh;4,566W
11/03/21;3:05PM;29.208kWh;3.091kWh/kW;3,098W;3,096W;0.328kW/kW;-;-;63.355kWh;4,778W
11/03/21;3:00PM;28.950kWh;3.063kWh/kW;2,763W;2,772W;0.293kW/kW;-;-;62.957kWh;4,349W
11/03/21;2:55PM;28.719kWh;3.039kWh/kW;2,760W;2,760W;0.292kW/kW;-;-;62.595kWh;4,639W
11/03/21;2:50PM;28.489kWh;3.015kWh/kW;1,958W;1,956W;0.207kW/kW;-;-;62.208kWh;3,878W
11/03/21;2:45PM;28.326kWh;2.997kWh/kW;2,218W;2,220W;0.235kW/kW;-;-;61.885kWh;5,124W
11/03/21;2:40PM;28.141kWh;2.978kWh/kW;2,546W;2,544W;0.269kW/kW;-;-;61.458kWh;5,023W
11/03/21;2:35PM;27.929kWh;2.955kWh/kW;2,861W;2,856W;0.302kW/kW;-;-;61.039kWh;4,780W
11/03/21;2:30PM;27.691kWh;2.930kWh/kW;2,966W;2,964W;0.314kW/kW;-;-;60.641kWh;4,853W
11/03/21;2:25PM;27.444kWh;2.904kWh/kW;3,024W;3,024W;0.320kW/kW;-;-;60.237kWh;4,979W
11/03/21;2:20PM;27.192kWh;2.877kWh/kW;4,639W;4,644W;0.491kW/kW;-;-;59.822kWh;6,859W
11/03/21;2:15PM;26.805kWh;2.837kWh/kW;6,655W;6,648W;0.703kW/kW;-;-;59.250kWh;10,247W
11/03/21;2:10PM;26.251kWh;2.778kWh/kW;7,182W;7,188W;0.761kW/kW;-;-;58.396kWh;11,255W
11/03/21;2:05PM;25.652kWh;2.714kWh/kW;5,126W;5,124W;0.542kW/kW;-;-;57.458kWh;7,494W
11/03/21;2:00PM;25.225kWh;2.669kWh/kW;3,715W;3,720W;0.394kW/kW;-;-;56.833kWh;5,452W
11/03/21;1:55PM;24.915kWh;2.637kWh/kW;4,636W;4,632W;0.490kW/kW;-;-;56.379kWh;7,011W
11/03/21;1:50PM;24.529kWh;2.596kWh/kW;6,882W;6,888W;0.729kW/kW;-;-;55.795kWh;10,664W
11/03/21;1:45PM;23.955kWh;2.535kWh/kW;6,951W;6,948W;0.735kW/kW;-;-;54.906kWh;11,126W
11/03/21;1:40PM;23.376kWh;2.474kWh/kW;6,322W;6,324W;0.669kW/kW;-;-;53.979kWh;9,581W
11/03/21;1:35PM;22.849kWh;2.418kWh/kW;6,059W;6,060W;0.641kW/kW;-;-;53.181kWh;9,515W
11/03/21;1:30PM;22.344kWh;2.364kWh/kW;6,285W;6,276W;0.664kW/kW;-;-;52.388kWh;10,175W
11/03/21;1:25PM;21.821kWh;2.309kWh/kW;4,904W;4,908W;0.519kW/kW;-;-;51.540kWh;7,316W
11/03/21;1:20PM;21.412kWh;2.266kWh/kW;6,159W;6,156W;0.651kW/kW;-;-;50.930kWh;9,501W
11/03/21;1:15PM;20.899kWh;2.212kWh/kW;6,385W;6,384W;0.676kW/kW;-;-;50.138kWh;9,977W
11/03/21;1:10PM;20.367kWh;2.155kWh/kW;7,029W;7,032W;0.744kW/kW;-;-;49.307kWh;11,590W
11/03/21;1:05PM;19.781kWh;2.093kWh/kW;6,325W;6,324W;0.669kW/kW;-;-;48.341kWh;10,393W
11/03/21;1:00PM;19.254kWh;2.037kWh/kW;5,662W;5,664W;0.599kW/kW;-;-;47.475kWh;9,021W
11/03/21;12:55PM;18.782kWh;1.988kWh/kW;5,988W;5,988W;0.634kW/kW;-;-;46.723kWh;9,409W
11/03/21;12:50PM;18.283kWh;1.935kWh/kW;5,215W;5,208W;0.551kW/kW;-;-;45.939kWh;7,662W
11/03/21;12:45PM;17.849kWh;1.889kWh/kW;5,162W;5,172W;0.547kW/kW;-;-;45.300kWh;7,473W
11/03/21;12:40PM;17.418kWh;1.843kWh/kW;6,120W;6,120W;0.648kW/kW;-;-;44.677kWh;9,292W
11/03/21;12:35PM;16.908kWh;1.789kWh/kW;5,479W;5,472W;0.579kW/kW;-;-;43.903kWh;8,266W
11/03/21;12:30PM;16.452kWh;1.741kWh/kW;5,044W;5,052W;0.535kW/kW;-;-;43.214kWh;7,560W
11/03/21;12:25PM;16.031kWh;1.696kWh/kW;5,236W;5,232W;0.554kW/kW;-;-;42.584kWh;7,863W
11/03/21;12:20PM;15.595kWh;1.650kWh/kW;5,659W;5,652W;0.598kW/kW;-;-;41.929kWh;8,701W
11/03/21;12:15PM;15.124kWh;1.600kWh/kW;5,613W;5,616W;0.594kW/kW;-;-;41.204kWh;8,521W
11/03/21;12:10PM;14.656kWh;1.551kWh/kW;5,675W;5,676W;0.601kW/kW;-;-;40.494kWh;8,376W
